playerA,PlayerB,who_win,Aset1,Aset2,Aset3,Aset4,Aset5,Bset1,Bset2,Bset3,Bset4,Bset5,Max points in a row A,Max points in a row B,Comeback to win A,Comeback to win B,Points won A,Points won B
345226,345227,1,6,11,3,11,15,11,7,11,9,17,5,6,0,5,46,55
345158,345159,1,10,4,6,-,-,12,11,11,-,-,3,8,0,4,20,34
345232,343949,0,6,12,2,11,11,11,10,11,7,9,4,5,3,0,42,48
345228,345229,0,11,6,11,11,14,8,11,13,5,12,9,8,2,5,53,49
345230,345231,1,11,7,11,9,-,8,11,13,11,-,5,5,4,4,38,43
343485,344426,1,5,8,7,-,-,11,11,11,-,-,2,6,0,3,20,33
344427,343600,1,4,5,11,7,-,11,11,9,11,-,4,8,1,1,27,42
344202,345229,0,11,6,4,11,11,8,11,11,9,6,6,6,3,1,43,45
345226,345231,1,8,12,8,-,-,11,14,11,-,-,4,4,0,2,28,36
345234,343828,0,7,11,11,11,-,11,6,8,3,-,10,4,2,1,40,28
343693,345235,1,10,4,9,-,-,12,11,11,-,-,4,7,0,4,23,34
